primary_label,raw_auc,positives,negatives,selected_auc,delta
1161364,,0,432,,
116570,0.8881008668242711,9,423,0.8820593643288679,-0.00604150249540325
1176823,,0,432,,
1491113,0.545571554983509,31,401,0.5717158716112944,0.02614431662778549
1595929,,0,432,,
209233,,0,432,,
22930,,0,432,,
22956,,0,432,,
22961,0.4791666666666667,36,396,0.4809203142536476,0.0017536475869809331
22967,0.9188172043010753,60,372,0.9137096774193547,-0.005107526881720559
22973,0.9144529774644341,94,338,0.9150824625456377,0.0006294850812036401
22983,,0,432,,
22985,,0,432,,
23150,,0,432,,
23154,,0,432,,
23158,0.9496751137102014,90,342,0.9458089668615984,-0.0038661468486029804
23176,,0,432,,
23724,,0,432,,
24279,0.9312375992063492,96,336,0.9359188988095238,0.004681299603174649
24285,,0,432,,
24287,,0,432,,
24321,0.9059388286929091,115,317,0.9006446303662049,-0.0052941983267041914
244024,,0,432,,
25073,,0,432,,
25092,0.9133037694013304,22,410,0.8726164079822616,-0.04068736141906881
25214,,0,432,,
326272,0.9812135607860073,11,421,0.9747354782984237,-0.006478082487583636
41970,,0,432,,
43435,0.8831349206349206,12,420,0.8154761904761905,-0.06765873015873014
47144,0.8436018957345971,10,422,0.8357819905213271,-0.007819905213270029
47158son01,0.9456349206349206,12,420,0.9434523809523809,-0.002182539682539675
47158son02,0.41378151260504203,7,425,0.3495798319327731,-0.06420168067226895
47158son03,0.6161151960784313,24,408,0.49560866013071897,-0.12050653594771238
47158son04,0.7255952380952382,12,420,0.603373015873016,-0.12222222222222223
47158son05,,0,432,,
47158son06,0.7555018786902845,18,414,0.6341921631776704,-0.12130971551261416
47158son07,1.0,24,408,1.0,0.0
47158son08,0.7049603174603174,12,420,0.7918650793650794,0.08690476190476204
47158son09,,0,432,,
47158son10,0.7275675675675676,25,407,0.6670270270270271,-0.06054054054054048
47158son11,0.8121031746031746,12,420,0.8676587301587302,0.05555555555555558
47158son12,,0,432,,
47158son13,1.0,12,420,1.0,0.0
47158son14,0.398015873015873,12,420,0.3331349206349206,-0.06488095238095237
47158son15,,0,432,,
47158son16,,0,432,,
47158son17,0.9098598076700266,21,411,0.9455451280268798,0.035685320356853234
47158son18,0.26746031746031745,12,420,0.24404761904761904,-0.023412698412698413
47158son19,0.8459016393442622,5,427,0.7854800936768149,-0.060421545667447285
47158son20,0.5009920634920635,12,420,0.7119047619047619,0.21091269841269844
47158son21,0.999568127834161,11,421,0.999568127834161,0.0
47158son22,1.0,12,420,1.0,0.0
47158son23,1.0,12,420,1.0,0.0
47158son24,,0,432,,
47158son25,0.9002240143369176,60,372,0.8944892473118279,-0.005734767025089682
476521,,0,432,,
516975,,0,432,,
517063,0.8531684365017698,198,234,0.8330527497194163,-0.020115686782353426
555123,,0,432,,
555145,,0,432,,
555146,0.9884326200115674,133,299,0.9900168481404179,0.0015842281288505067
64898,,0,432,,
65377,0.24087207775151037,9,423,0.20961386918833727,-0.0312582085631731
65380,0.9835946044476851,221,211,0.9813214385280178,-0.002273165919667308
66971,0.9588414634146342,104,328,0.9542389774859287,-0.004602485928705491
67107,,0,432,,
67252,,0,432,,
70711,,0,432,,
738183,,0,432,,
74113,,0,432,,
74580,,0,432,,
760266,,0,432,,
ashgre1,,0,432,,
astcra1,,0,432,,
bafcur1,0.44680851063829785,9,423,0.3821907013396375,-0.06461780929866034
baffal1,,0,432,,
banana,,0,432,,
barant1,,0,432,,
batbel1,,0,432,,
baymac,,0,432,,
bbwduc,,0,432,,
bcwfin2,,0,432,,
bkcdon,,0,432,,
bkhpar,,0,432,,
blchaw1,,0,432,,
blheag1,,0,432,,
blttit1,,0,432,,
bncfly,,0,432,,
bobfly1,,0,432,,
brcmar1,,0,432,,
brnowl,,0,432,,
bucmot4,,0,432,,
bucpar,,0,432,,
bufpar,0.5941860465116279,2,430,0.5034883720930232,-0.09069767441860466
bunibi1,0.3255813953488372,2,430,0.7860465116279071,0.4604651162790699
burowl,,0,432,,
camfli1,,0,432,,
chacha1,0.9370951417004049,52,380,0.9377530364372471,0.0006578947368421906
chbmoc1,,0,432,,
chobla1,,0,432,,
chvcon1,0.9724206349206349,12,420,0.9722222222222222,-0.0001984126984126977
cibspi1,,0,432,,
coffal1,,0,432,,
compau,0.8652710681696189,18,414,0.8679549114331722,0.0026838432635533094
compot1,0.714840714840715,3,429,0.7843822843822844,0.06954156954156943
crbthr1,,0,432,,
crebec1,,0,432,,
dwatin1,,0,432,,
epaori4,,0,432,,
eulfly1,,0,432,,
fabwre1,,0,432,,
fepowl,,0,432,,
ficman1,,0,432,,
flawar1,,0,432,,
fotfly,,0,432,,
fusfly1,0.8756798756798757,3,429,0.7587412587412588,-0.11693861693861696
gilhum1,,0,432,,
giwrai1,,0,432,,
glteme1,,0,432,,
grasal3,,0,432,,
greani1,,0,432,,
greant1,,0,432,,
greela,,0,432,,
grekis,,0,432,,
grepot1,,0,432,,
gretho2,,0,432,,
greyel,,0,432,,
grfdov1,,0,432,,
grhtan1,,0,432,,
gycwor1,,0,432,,
horscr1,,0,432,,
houspa,,0,432,,
hyamac1,,0,432,,
larela1,,0,432,,
lesela1,,0,432,,
lesgrf1,,0,432,,
limpki,,0,432,,
linwoo1,,0,432,,
litcuc2,,0,432,,
litnig1,0.9453178400546821,14,418,0.9473684210526316,0.002050580997949525
mabpar,,0,432,,
magant1,0.9709302325581396,2,430,0.9674418604651163,-0.0034883720930233286
magtan2,,0,432,,
masgna1,,0,432,,
nacnig1,,0,432,,
ocecra1,,0,432,,
oliwoo1,,0,432,,
orbtro3,,0,432,,
orwpar,0.9786223277909739,11,421,0.9762470308788598,-0.002375296912114133
osprey,,0,432,,
pabspi1,,0,432,,
palhor3,,0,432,,
paltan1,,0,432,,
phecuc1,,0,432,,
picpig2,,0,432,,
pirfly1,,0,432,,
plasla1,,0,432,,
platyr1,,0,432,,
plcjay1,,0,432,,
pluibi1,,0,432,,
purjay1,0.9497663551401869,4,428,0.9509345794392523,0.001168224299065379
pvttyr1,,0,432,,
ragmac1,,0,432,,
rebscy1,,0,432,,
recfin1,,0,432,,
redjun,0.9937402190923318,6,426,0.9937402190923318,0.0
relser1,,0,432,,
rinkin1,,0,432,,
rivwar1,,0,432,,
roahaw,,0,432,,
rubthr1,,0,432,,
rufcac2,,0,432,,
rufcas2,,0,432,,
rufgna3,,0,432,,
rufhor2,0.2044392523364486,4,428,0.13901869158878505,-0.06542056074766356
rufnig1,,0,432,,
ruftho1,,0,432,,
ruftof1,,0,432,,
rumfly1,,0,432,,
ruther1,,0,432,,
rutjac1,,0,432,,
sabspa1,,0,432,,
saffin,,0,432,,
saytan1,,0,432,,
scadov1,,0,432,,
schpar1,,0,432,,
scther1,,0,432,,
shcfly1,,0,432,,
shshaw,,0,432,,
shtnig1,,0,432,,
sibtan2,,0,432,,
smbani,,0,432,,
smbtin1,,0,432,,
sobcac1,,0,432,,
sobtyr1,,0,432,,
socfly1,,0,432,,
sofspi1,,0,432,,
souant1,,0,432,,
soulap1,,0,432,,
souscr1,,0,432,,
spbant3,,0,432,,
spispi1,,0,432,,
sptnig1,,0,432,,
squcuc1,,0,432,,
stbwoo2,,0,432,,
strcuc1,,0,432,,
strher2,,0,432,,
strowl1,,0,432,,
swthum1,,0,432,,
swtman1,,0,432,,
tattin1,,0,432,,
thlwre1,,0,432,,
toctou1,,0,432,,
trokin,,0,432,,
trsowl,0.9109535066981875,9,423,0.9148936170212766,0.003940110323089052
undtin1,0.7503186189317577,21,411,0.7519406789479782,0.0016220600162205612
varant1,,0,432,,
watjac1,,0,432,,
wesfie1,,0,432,,
wfwduc1,0.7099767981438515,1,431,0.49651972157772617,-0.21345707656612534
whbant2,,0,432,,
whbwar2,,0,432,,
whiwoo1,,0,432,,
whlspi1,,0,432,,
whnjay1,,0,432,,
whtdov,0.9950487732781556,34,398,0.995270469997044,0.00022169671888849773
whwpic1,,0,432,,
y00678,,0,432,,
yebcar,,0,432,,
yebela1,,0,432,,
yecmac,,0,432,,
yecpar,,0,432,,
yehcar1,,0,432,,
yeofly1,,0,432,,
