epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.0629065031713221,0.6600150244835533,208,26,0,0.43347921086138386,39,195,0,0.02935308269050749,0.000140064229960231,0.43347921086138386
2,0.024706436318666796,0.907362587696018,208,26,0,0.6514464689797298,39,195,0,0.01977829719310935,0.0003801284255413971,0.6514464689797298
3,0.01880787248203976,0.9340813711693717,208,26,0,0.7275610121835113,39,195,0,0.017025260378003997,0.000499999988191274,0.7275610121835113
4,0.021738950116147772,0.9381680515197055,208,26,0,0.7233505337157291,39,195,0,0.015346527069727367,0.0004850477635048464,0.7233505337157291
5,0.020646065677952977,0.9515877545509667,208,26,0,0.7557118187749725,39,195,0,0.014355145404762763,0.0004420468465002673,0.7557118187749725
6,0.019676000375168777,0.9483534658849079,208,26,0,0.7299564967495216,39,195,0,0.01352848141780372,0.00037618378239423467,0.7299564967495216
7,0.01872829200238385,0.9566830962563002,208,26,0,0.7495570531416414,39,195,0,0.012762310648869903,0.00029540262875323736,0.7495570531416414
8,0.017890139941983255,0.9622584506189065,208,26,0,0.7782548367553801,39,195,0,0.011992132304271156,0.00020944678490923427,0.7782548367553801
9,0.017130817008921793,0.9662019378652492,208,26,0,0.799206367013475,39,195,0,0.011513754402357029,0.00012868379420296055,0.799206367013475
10,0.01647693436444465,0.9654062482620467,208,26,0,0.7953732211373299,39,195,0,0.011177405667986801,6.285486524839097e-05,0.7953732211373299
11,0.0159251471989648,0.9657731244937319,208,26,0,0.7894488194173267,39,195,0,0.011073681251033841,1.9899938408966985e-05,0.7894488194173267
12,0.015773067496453238,0.9662342603082728,208,26,0,0.7976139858742047,39,195,0,0.010992484843298634,5.00001180872594e-06,0.7976139858742047
