fold,variant,valid_files,valid_sites,best_valid_auc,oof_auc,epochs_ran
1,raw_perch,39,['S22'],0.829443270951352,0.829443270951352,0
1,pooled_mlp_rawfeat,39,['S22'],0.5926987651076062,0.5926987651076062,35
1,ssm_linear,39,['S22'],0.5486607721901112,0.5486607721901112,21
1,ssm_linear_rawfeat,39,['S22'],0.5465851818115733,0.5465851818115733,16
2,raw_perch,10,"['S03', 'S08', 'S19']",0.6062131867604104,0.6062131867604104,0
2,pooled_mlp_rawfeat,10,"['S03', 'S08', 'S19']",0.5717113311574697,0.5717113311574697,10
2,ssm_linear,10,"['S03', 'S08', 'S19']",0.6469208248462078,0.6469208248462078,21
2,ssm_linear_rawfeat,10,"['S03', 'S08', 'S19']",0.598083566112035,0.598083566112035,35
3,raw_perch,10,"['S13', 'S15', 'S18', 'S23']",0.8095018425820985,0.8095018425820985,0
3,pooled_mlp_rawfeat,10,"['S13', 'S15', 'S18', 'S23']",0.6050333431466745,0.6050333431466745,9
3,ssm_linear,10,"['S13', 'S15', 'S18', 'S23']",0.6504164274256166,0.6504164274256166,31
3,ssm_linear_rawfeat,10,"['S13', 'S15', 'S18', 'S23']",0.6080974418251035,0.6080974418251035,14
