variant,taxon,file_taxon_auc,scored_classes
manifest_baseline,Amphibia,0.9973001102616749,17
manifest_baseline,Aves,0.9825939742250087,25
manifest_baseline,Insecta,0.9989473684210526,25
manifest_baseline,Mammalia,0.9827586206896551,3
manifest_baseline,Reptilia,1.0,1
topk1_manifest,Amphibia,0.9975320248898742,17
topk1_manifest,Aves,0.9791881800460749,25
topk1_manifest,Insecta,0.999298245614035,25
topk1_manifest,Mammalia,0.9827586206896551,3
topk1_manifest,Reptilia,1.0,1
topk3_manifest,Amphibia,0.9971470125853573,17
topk3_manifest,Aves,0.9825050853361199,25
topk3_manifest,Insecta,0.9989473684210526,25
topk3_manifest,Mammalia,0.9770114942528735,3
topk3_manifest,Reptilia,1.0,1
rank035_manifest,Amphibia,0.9973001102616749,17
rank035_manifest,Aves,0.9825939742250087,25
rank035_manifest,Insecta,0.9989473684210526,25
rank035_manifest,Mammalia,0.9827586206896551,3
rank035_manifest,Reptilia,1.0,1
rank045_manifest,Amphibia,0.9973001102616749,17
rank045_manifest,Aves,0.9825939742250087,25
rank045_manifest,Insecta,0.9989473684210526,25
rank045_manifest,Mammalia,0.9827586206896551,3
rank045_manifest,Reptilia,1.0,1
rank050_manifest,Amphibia,0.9973001102616749,17
rank050_manifest,Aves,0.9825939742250087,25
rank050_manifest,Insecta,0.9989473684210526,25
rank050_manifest,Mammalia,0.9827586206896551,3
rank050_manifest,Reptilia,1.0,1
delta010_manifest,Amphibia,0.9973001102616749,17
delta010_manifest,Aves,0.9825939742250087,25
delta010_manifest,Insecta,0.9989473684210526,25
delta010_manifest,Mammalia,0.9827586206896551,3
delta010_manifest,Reptilia,1.0,1
delta015_manifest,Amphibia,0.9973001102616749,17
delta015_manifest,Aves,0.9825939742250087,25
delta015_manifest,Insecta,0.9989473684210526,25
delta015_manifest,Mammalia,0.9827586206896551,3
delta015_manifest,Reptilia,1.0,1
delta025_manifest,Amphibia,0.9973001102616749,17
delta025_manifest,Aves,0.9825939742250087,25
delta025_manifest,Insecta,0.9989473684210526,25
delta025_manifest,Mammalia,0.9827586206896551,3
delta025_manifest,Reptilia,1.0,1
no_thresholds,Amphibia,0.9973001102616749,17
no_thresholds,Aves,0.9825939742250087,25
no_thresholds,Insecta,0.9989473684210526,25
no_thresholds,Mammalia,0.9827586206896551,3
no_thresholds,Reptilia,1.0,1
no_delta_smooth,Amphibia,0.9973001102616749,17
no_delta_smooth,Aves,0.9825939742250087,25
no_delta_smooth,Insecta,0.9989473684210526,25
no_delta_smooth,Mammalia,0.9827586206896551,3
no_delta_smooth,Reptilia,1.0,1
no_rank_aware_closed_public_negative,Amphibia,0.9973001102616749,17
no_rank_aware_closed_public_negative,Aves,0.9825939742250087,25
no_rank_aware_closed_public_negative,Insecta,0.9989473684210526,25
no_rank_aware_closed_public_negative,Mammalia,0.9827586206896551,3
no_rank_aware_closed_public_negative,Reptilia,1.0,1
no_file_scale_closed_public_negative,Amphibia,0.9975320248898742,17
no_file_scale_closed_public_negative,Aves,0.9791881800460749,25
no_file_scale_closed_public_negative,Insecta,0.999298245614035,25
no_file_scale_closed_public_negative,Mammalia,0.9827586206896551,3
no_file_scale_closed_public_negative,Reptilia,1.0,1
